;Марка;Модель;Услуга;Регион;URL
0;Acura;;Ремонт системы охлаждения;;/acura/sistema-ohlazhdeniya
1;Acura;CSX;Ремонт системы охлаждения;;/acura/csx/sistema-ohlazhdeniya
2;Acura;MDX;Ремонт системы охлаждения;;/acura/mdx/sistema-ohlazhdeniya
3;Acura;RDX;Ремонт системы охлаждения;;/acura/rdx/sistema-ohlazhdeniya
4;Acura;RL;Ремонт системы охлаждения;;/acura/rl/sistema-ohlazhdeniya
5;Acura;RSX;Ремонт системы охлаждения;;/acura/rsx/sistema-ohlazhdeniya
6;Acura;TL;Ремонт системы охлаждения;;/acura/tl/sistema-ohlazhdeniya
7;Acura;TSX;Ремонт системы охлаждения;;/acura/tsx/sistema-ohlazhdeniya
8;Acura;ZDX;Ремонт системы охлаждения;;/acura/zdx/sistema-ohlazhdeniya
9;Acura;TLX;Ремонт системы охлаждения;;/acura/tlx/sistema-ohlazhdeniya
10;Audi;A1;Ремонт системы охлаждения;;/audi/a1/sistema-ohlazhdeniya
11;Audi;A3;Ремонт системы охлаждения;;/audi/a3/sistema-ohlazhdeniya
12;Audi;A4;Ремонт системы охлаждения;;/audi/a4/sistema-ohlazhdeniya
13;Audi;A5;Ремонт системы охлаждения;;/audi/a5/sistema-ohlazhdeniya
14;Audi;A6;Ремонт системы охлаждения;;/audi/a6/sistema-ohlazhdeniya
15;Audi;A7;Ремонт системы охлаждения;;/audi/a7/sistema-ohlazhdeniya
16;Audi;A8;Ремонт системы охлаждения;;/audi/a8/sistema-ohlazhdeniya
17;Audi;Q3;Ремонт системы охлаждения;;/audi/q3/sistema-ohlazhdeniya
18;Audi;Q5;Ремонт системы охлаждения;;/audi/q5/sistema-ohlazhdeniya
19;Audi;Q7;Ремонт системы охлаждения;;/audi/q7/sistema-ohlazhdeniya
20;Audi;R8;Ремонт системы охлаждения;;/audi/r8/sistema-ohlazhdeniya
21;Audi;RS Q3;Ремонт системы охлаждения;;/audi/rs-q3/sistema-ohlazhdeniya
22;Audi;RS 3;Ремонт системы охлаждения;;/audi/rs-3/sistema-ohlazhdeniya
23;Audi;RS 4;Ремонт системы охлаждения;;/audi/rs-4/sistema-ohlazhdeniya
24;Audi;RS 5;Ремонт системы охлаждения;;/audi/rs-5/sistema-ohlazhdeniya
