;Марка;Модель
0;Acura;CSX
1;Acura;MDX
2;Acura;RDX
3;Acura;RL
4;Acura;RSX
5;Acura;TL
6;Acura;TSX
7;Acura;ZDX
8;Acura;TLX
9;Audi;A1
10;Audi;A3
11;Audi;A4
12;Audi;A5
13;Audi;A6
14;Audi;A7
15;Audi;A8
16;Audi;Q3
17;Audi;Q5
18;Audi;Q7
19;Audi;R8
20;Audi;RS Q3
21;Audi;RS 3
22;Audi;RS 4
23;Audi;RS 5
24;Audi;RS 6
25;Audi;RS 7
26;Audi;S3
27;Audi;S4
28;Audi;S5
29;Audi;S6
30;Audi;S7
31;Audi;S8
32;Audi;SQ5
33;Audi;TT
34;BMW;i3
35;BMW;i8
36;BMW;X1
37;BMW;X3
38;BMW;X4
39;BMW;X5
40;BMW;X6
41;BMW;Z4
42;BMW;1M
43;BMW;M3
44;BMW;M4
45;BMW;M5
46;BMW;M6
47;BMW;X5 M
48;BMW;X6 M
49;BMW;Z4 M
50;BMW;1-Series
51;BMW;2-Series
52;BMW;2-Series Active Tourer
53;BMW;3-Series
54;BMW;4-Series
55;BMW;5-Series
56;BMW;6-Series
57;BMW;7-Series
58;Chevrolet;Astra
59;Chevrolet;Avalanche
60;Chevrolet;Aveo
61;Chevrolet;Blazer
62;Chevrolet;Camaro
63;Chevrolet;Caprice
64;Chevrolet;Captiva
65;Chevrolet;Celta
66;Chevrolet;Cobalt
67;Chevrolet;Colorado
68;Chevrolet;Corsa
69;Chevrolet;Corvette
70;Chevrolet;Cruze
71;Chevrolet;Epica
72;Chevrolet;Equinox
73;Chevrolet;Evanda
74;Chevrolet;Express
75;Chevrolet;HHR
76;Chevrolet;Impala
77;Chevrolet;Kalos
78;Chevrolet;Lacetti
79;Chevrolet;Lanos
80;Chevrolet;Lumina
81;Chevrolet;LUV D-MAX
82;Chevrolet;Malibu
83;Chevrolet;Monte Carlo
84;Chevrolet;MW
85;Chevrolet;Niva
86;Chevrolet;Nubira
87;Chevrolet;Omega
88;Chevrolet;Orlando
89;Chevrolet;Rezzo
90;Chevrolet;S-10
91;Chevrolet;Sail
92;Chevrolet;Sonic
93;Chevrolet;Spark
94;Chevrolet;SSR
95;Chevrolet;Suburban
96;Chevrolet;Tahoe
97;Chevrolet;Tavera
98;Chevrolet;Tracker
99;Chevrolet;TrailBlazer
100;Chevrolet;Trans Sport
101;Chevrolet;Traverse
102;Chevrolet;Uplander
103;Chevrolet;Vectra
104;Chevrolet;Venture
105;Chevrolet;Viva
106;Chevrolet;Volt
107;Chevrolet;Zafira
108;Chevrolet;Silverado
109;Chevrolet;Agile
110;Chevrolet;Beat
111;Chevrolet;Combo
112;Chevrolet;Enjoy
113;Chevrolet;Grand Vitara
114;Chevrolet;Jimny
115;Chevrolet;Lova
116;Chevrolet;Matiz
117;Chevrolet;Meriva
118;Chevrolet;Montana
119;Chevrolet;N200
120;Chevrolet;N300
121;Chevrolet;Onix
122;Chevrolet;Optra
123;Chevrolet;Prisma
124;Chevrolet;Spin
125;Chevrolet;Tacuma
126;Chevrolet;Tornado
127;Chevrolet;Utility
128;Chevrolet;Vitara
129;Chevrolet;Vivant
130;Citroen ;Berlingo
131;Citroen ;C-Crosser
132;Citroen ;C-Elysee
133;Citroen ;C1
134;Citroen ;C2
135;Citroen ;C3
136;Citroen ;C3 Picasso
137;Citroen ;C4 AirCross
138;Citroen ;C4
139;Citroen ;C4 Picasso
140;Citroen ;C5
141;Citroen ;C6
142;Citroen ;C8
143;Citroen ;DS3
144;Citroen ;DS4
145;Citroen ;DS5
146;Citroen ;Xantia
147;Citroen ;XM
148;Citroen ;Xsara Picasso
149;Citroen ;Jumpy
150;Citroen ;Jumper
151;Daewoo;Damas
152;Daewoo;Evanda
153;Daewoo;G2X
154;Daewoo;Gentra
155;Daewoo;Kalos
156;Daewoo;Lacetti
157;Daewoo;Magnus
158;Daewoo;Matiz
159;Daewoo;Nexia
160;Daewoo;Nubira
161;Daewoo;Rezzo
162;Daewoo;Tosca
163;Daewoo;Winstorm
164;Daewoo;Sens
165;Dodge;Avenger
166;Dodge;Caliber
167;Dodge;Caravan
168;Dodge;Challenger
169;Dodge;Charger
170;Dodge;Dakota
171;Dodge;Durango
172;Dodge;Journey
173;Dodge;Magnum
174;Dodge;Neon
175;Dodge;Nitro
176;Dodge;Ram
177;Dodge;Stratus
178;Dodge;Viper
179;Fiat;500
180;Fiat;500L
181;Fiat;600
182;Fiat;Albea
183;Fiat;Bravo
184;Fiat;Croma
185;Fiat;Doblo
186;Fiat;Fiorino
